"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"3655","10023819704","58473","PLEKHB1","NM_021200","NM_021200","","HSG00272381"
"3656","10025908723","1154","CISH","NM_013324","NM_013324","","HSG00221193"
"3657","10023828524","64342","","NM_022460","NM_022460","","HSG00214244"
"3658","10025903466","9162","DGKI","NM_004717","NM_004717","","HSG00248441"
"3659","10025916485","","","BC032028","BC032028","","HSG00218388"
"3660","10031919823","376844","SDC4P","AF520746","AF520746","","HSG00314916"
"3661","10025903884","11232","POLG2","NM_007215","NM_007215","","HSG00302167"
"3662","10023821598","","","AA628484","non-public","","HSG00411315"
"3663","10025928134","","","BC036616","BC036616","","HSG00219263"
"3664","10025931154","","","","non-public","RosettaGeneID: HSG00362669","HSG00362669"
"3665","10023808499","","","AA253495","non-public","","HSG00273932"
"3666","10025920290","387700","SLC16A12","XM_113636","XM_113636","","HSG00265985"
"3667","10025908776","80013","C10orf97","NM_024948","NM_024948","","HSG00268095"
"3668","10023819283","221178","SPATA13","AL049335","AL049335","","HSG00284690"
"3669","10023816791","2574","GAGE2","NM_001472","NM_001472","","HSG00255280"
"3670","10025922565","389293","","XM_371741","non-public","","HSG00354903"
"3671","10025913946","","","AI024166","non-public","","HSG00273531"
"3672","10025930326","","","AF085954","AF085954","","HSG00285131"
"3673","10025909038","84772","","NM_032686","NM_032686","","HSG00298569"
"3674","10023806256","79191","IRX3","NM_024336","non-public","","HSG00295549"
"3675","10023811634","","","G36537","non-public","","HSG00316467"
"3676","10025926349","","","AL833493","AL833493","","HSG00315343"
"3677","10025902884","284403","WDR62","NM_015671","NM_015671","","HSG00307159"
"3678","10023849421","","","","non-public","ENSEMBLE: ENST00000270751","HSG00202381"
"3679","10025927854","","","AF075067","AF075067","","HSG00241005"
"3680","10025928809","","","AI266457","non-public","","HSG00358817"
"3681","10025907638","3688","ITGB1","NM_033668","NM_033668","","HSG00269670"
"3682","10023812348","84687","PPP1R9B","AL157449","AL157449","","HSG00297753"
"3683","10025908500","9325","TRIP4","NM_016213","NM_016213","","HSG00290999"
